รหัสเขตพื้นที่การศึกษา,ชื่อเขตพื้นที่การศึกษา,รหัสโรงเรียน (smis),percode รหัส 6 หลัก,รหัสกระทรวง (10 หลัก),ชื่อโรงเรียน,ลำดับ,แปลงที่,ตารางวา,งาน,ไร่,กรรมสิทธิ์การถือครอง
60020000,สพป.นครสวรรค์ เขต 2,60020001,220354,1060220354,วัดเจริญผล,1,1,0,3,12,ที่ธรณีสงฆ์
60020000,สพป.นครสวรรค์ เขต 2,60020002,220358,1060220358,วัดมาบมะขาม,1,1,73,2,14,ที่ราชพัสดุ
60020000,สพป.นครสวรรค์ เขต 2,60020003,220359,1060220359,วัดศรัทธาราม,1,1,0,0,3,ที่ดินได้รับบริจาคหรือให้ใช้
60020000,สพป.นครสวรรค์ เขต 2,60020004,220347,1060220347,วัดด่านช้าง,1,1,0,0,11,ที่สาธารณะประโยชน์
60020000,สพป.นครสวรรค์ เขต 2,60020005,220348,1060220348,บ้านทุ่งท่าเสา,1,1,30,2,3,ที่ราชพัสดุ
60020000,สพป.นครสวรรค์ เขต 2,60020006,220349,1060220349,วัดวงฆ้อง(ราษฎร์สุริยศึกษา),1,ที่ธรณีสงฆ์,80,2,7,ที่ธรณีสงฆ์
60020000,สพป.นครสวรรค์ เขต 2,60020007,220350,1060220350,บ้านหนองละมาน,1,1,60,1,5,ที่ราชพัสดุ
60020000,สพป.นครสวรรค์ เขต 2,60020007,220350,1060220350,บ้านหนองละมาน,2,2,80,3,7,ที่ดินได้รับบริจาคหรือให้ใช้
60020000,สพป.นครสวรรค์ เขต 2,60020008,220351,1060220351,วัดหนองปลาไหล,1,1,0,0,24,ที่ดินได้รับบริจาคหรือให้ใช้
60020000,สพป.นครสวรรค์ เขต 2,60020009,220369,1060220369,บ้านหนองคล้า,1,1,0,0,3,ที่ดินได้รับบริจาคหรือให้ใช้
60020000,สพป.นครสวรรค์ เขต 2,60020009,220369,1060220369,บ้านหนองคล้า,2,1,0,0,3,ที่ดินได้รับบริจาคหรือให้ใช้
60020000,สพป.นครสวรรค์ เขต 2,60020010,220336,1060220336,บ้านงิ้วแบ้,1,1,99,1,7,ที่ราชพัสดุ
60020000,สพป.นครสวรรค์ เขต 2,60020011,220337,1060220337,บ้านดงคู้,1,1,0,2,5,ที่ดินได้รับบริจาคหรือให้ใช้
60020000,สพป.นครสวรรค์ เขต 2,60020011,220337,1060220337,บ้านดงคู้,2,-,0,0,0,-
60020000,สพป.นครสวรรค์ เขต 2,60020011,220337,1060220337,บ้านดงคู้,3,-,0,0,0,-
60020000,สพป.นครสวรรค์ เขต 2,60020012,220338,1060220338,บ้านหนองเจ็ดหาบ,1,1,0,2,4,ที่ราชพัสดุ
60020000,สพป.นครสวรรค์ เขต 2,60020013,220339,1060220339,วัดโพธิ์ขวัญ,1,1,0,0,3,ที่ราชพัสดุ
60020000,สพป.นครสวรรค์ เขต 2,60020013,220339,1060220339,วัดโพธิ์ขวัญ,2,-,0,0,0,ที่ราชพัสดุ
60020000,สพป.นครสวรรค์ เขต 2,60020013,220339,1060220339,วัดโพธิ์ขวัญ,3,-,0,0,0,ที่ราชพัสดุ
60020000,สพป.นครสวรรค์ เขต 2,60020014,220340,1060220340,วัดธรรมรักขิตาราม,1,-,0,2,7,ที่ธรณีสงฆ์
60020000,สพป.นครสวรรค์ เขต 2,60020015,220341,1060220341,ไทยรัฐวิทยา 59 (วัดสังขวิจิตร),1,1,36,3,7,ที่ธรณีสงฆ์
60020000,สพป.นครสวรรค์ เขต 2,60020016,220342,1060220342,วัดสังขสุทธาวาส,1,1,0,3,4,ที่ดินได้รับบริจาคหรือให้ใช้
60020000,สพป.นครสวรรค์ เขต 2,60020017,220344,1060220344,วัดบ้านวัง,1,ไม่ทราบ,20,3,10,ที่ราชพัสดุ
60020000,สพป.นครสวรรค์ เขต 2,60020018,220345,1060220345,วัดบ้านไผ่,1,1,72,0,9,ที่ราชพัสดุ
60020000,สพป.นครสวรรค์ เขต 2,60020019,220346,1060220346,วัดคลองสองหน่อ,1,1,0,0,5,ที่สาธารณะประโยชน์
60020000,สพป.นครสวรรค์ เขต 2,60020020,220352,1060220352,วัดจันทร์ทอง,1,1,86,1,1,ที่ธรณีสงฆ์
60020000,สพป.นครสวรรค์ เขต 2,60020021,220353,1060220353,วัดตาสังใต้,1,1,80,1,3,ที่ธรณีสงฆ์
