รหัสโรงเรียน,ชื่อโรงเรียน,ระดับชั้น,ที่อยู่,ถนน,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,โทร,แฟกซ์,เขต,ประเภท 1
10100001,สตรีวรนาถ,อ1-ป6,23-25 ซอยเทเวศร์ 1,กรุงเกษม,บางขุนพรหม,เขตพระนคร,กรุงเทพมหานคร,10200,02-2817438,02-2817438,1001,1
10100007,ราชินี,อ1-ม6,444,มหาราช,พระบรมมหาราชวัง,เขตพระนคร,กรุงเทพมหานคร,10200,02-2211501,02-2226883,1001,1
10100008,ภารตวิทยาลัย,ตอ-ป6,136/1-2 ซอยศิริชัย,ศิริพงษ์,สำราญราษฎร์,เขตพระนคร,กรุงเทพมหานคร,10200,02-2227588,02-2245842,1001,1
10100009,พิมานวิทย์,อ1-ป6,212,ข้าวสาร,ตลาดยอด,เขตพระนคร,กรุงเทพมหานคร,10200,02-2816746,,1001,1
10100010,อนุบาลกรแก้ว,อ1-อ3,124   ซอยระนอง 1,พระราม 5,ถนนนครไชยศรี,เขตดุสิต,กรุงเทพมหานคร,10300,02-2411516 02-2435563,02-6684327,1001,1
10100013,อัมพวันศึกษา,อ1-ป6,1186 ซอยวัดอัมพวัน,นครไชยศรี,ถนนนครไชยศรี,เขตดุสิต,กรุงเทพมหานคร,10300,02-6691842,02-6696997,1001,1
10100014,อักษรเจริญ,ป1-ป6,305/3   ซอย 6,สุโขทัย,ดุสิต,เขตดุสิต,กรุงเทพมหานคร,10300,02-2413374,,1001,1
10101041,อนุบาลสิริกาญจน์รัต,อ1-อ3,43   ซอยพูนทรัพย์สินแยก 12,รามคำแหง 24,หัวหมาก,เขตบางกะปิ,กรุงเทพมหานคร,10240,02-3192385,02-3192385,1002,1
10101042,อัลกุรรออ์วิทยา (ประเวศ),ม1-ม3,100/21 หมู่ที่ 6 ซอยอ่อนนุช 53,อ่อนนุช,ประเวศ,เขตประเวศ,กรุงเทพมหานคร,10250,,,1002,1
10101043,อนุบาลต้นข้าว,ตอ-อ3,12 ซอยหมู่บ้านเสรี 1 ซอย16,รามคำแหง 24,หัวหมาก,เขตบางกะปิ,กรุงเทพมหานคร,10240,02-3195419, 02-31950543, 089-5008958,02-3195419,1002,1
10100017,อนุบาลธรรมภิรักษ์เทเวศร์,ตอ-อ3,198/4   ซอยมิตรคาม,ศรีอยุธยา,วชิรพยาบาล,เขตดุสิต,กรุงเทพมหานคร,10300,02-2814010,02-2813983,02-2815447,1001,1
10100019,อนุบาลสาริน,อ1-อ3,329/1 ซอย 28 (องครักษ์),สามเสน,ถนนนครไชยศรี,เขตดุสิต,กรุงเทพมหานคร,10300,02-2430815 , 02-2411882,02-6694776 กด 0,1001,1
10100020,ศรีดรุณ,อ1-ป6,21 ซอย 30,สามเสน,ถนนนครไชยศรี,เขตดุสิต,กรุงเทพมหานคร,10300,02-2433413,02-6692134,1001,1
10100021,ช่างอากาศอำรุง,อ1-ป6,1,เตชะวณิช,ถนนนครไชยศรี,เขตดุสิต,กรุงเทพมหานคร,10300,02-2438955,02-2438954,1001,1
10100022,วชิราวุธวิทยาลัย,ป3-ม6,197,ราชวิถี,ดุสิต,เขตดุสิต,กรุงเทพมหานคร,10300,02-6694526-9,02-3246995,1001,1
10100023,อนุบาลเลิศนุวัฒน์,ตอ-อ3,233,ราชวิถี,สวนจิตรลดา,เขตดุสิต,กรุงเทพมหานคร,10300,02-2430072-3,02-2432379,1001,1
10100024,อนุบาลยุววิทย์,อ1-อ3,101 ซอย 11,สามเสน,วชิรพยาบาล,เขตดุสิต,กรุงเทพมหานคร,10300,02-2411951-2,02-6688092,1001,1
10100025,เซนต์คาเบรียล,ป1-ม6,565 ซอยมิตรคาม,สามเสน,วชิรพยาบาล,เขตดุสิต,กรุงเทพมหานคร,10300,02-2430065,02-2432150,02-2432150,1001,1
10100026,กันตะบุตร,ตอ-ม3,71,อำนวยสงคราม,ถนนนครไชยศรี,เขตดุสิต,กรุงเทพมหานคร,10300,02-2415214,02-6691102,1001,1
10100028,สรรพาวุธบำรุง,ป1-ม3,53 หมู่ที่14,ทหาร,ถนนนครไชยศรี,เขตดุสิต,กรุงเทพมหานคร,10300,02-2413240,02-2412985,1001,1
10100029,เซนต์ฟรังซีสซาเวียร์คอนแวนต์,อ1-ม6,92 ซอยมิตรคาม,สามเสน,วชิรพยาบาล,เขตดุสิต,กรุงเทพมหานคร,10300,02-2412604-5,02-2412606,1001,1
10100030,ราชินีบน,อ1-ม6,885,สามเสน,ถนนนครไชยศรี,เขตดุสิต,กรุงเทพมหานคร,10300,02-2411758,02-2438654,1001,1
10100032,กองทัพบกอุปถัมภ์สื่อสารสงเคราะห์,อ1-ป6,149,พระราม 5,ถนนนครไชยศรี,เขตดุสิต,กรุงเทพมหานคร,10300,02-2975334,02-6692411,1001,1
10100037,พันธะวัฒนา,อ1-ป6,249,สุโขทัย,ดุสิต,เขตดุสิต,กรุงเทพมหานคร,10300,02-2432780,02-2432780,1001,1
10100040,โยนออฟอาร์ค,ตอ-ม6,94  ซอยมิตรคาม,สามเสน,วชิรพยาบาล,เขตดุสิต,กรุงเทพมหานคร,10300,02-2430057-8,02-2430058,1001,1
10100041,จิตรลดา,อ1-ม6,ปวช.,ปวส,ในสวนจิตรฯ,ราชวิถี,สวนจิตรลดา,เขตดุสิต,กรุงเทพมหานคร,10300,02-2804830-1,02-2803392,1001,1
10100042,เซนต์เทเรซา,ตอ-ม3,63 หมู่ที่ 4,สังฆสันติสุข,กระทุ่มราย,เขตหนองจอก,กรุงเทพมหานคร,10530,02-5431238-9,02-5431238-9,1002,1
10100043,วิทยปัญญา,อ1-ป6,6/2 หมู่ที่ 2,คลอง 13,หนองจอก,เขตหนองจอก,กรุงเทพมหานคร,10530,02-9893941,,1002,1
10100044,อนุบาลธนามาศ,อ1-อ3,107/4,สุวินทวงศ์,หนองจอก,เขตหนองจอก,กรุงเทพมหานคร,10530,02-9892807,02-9892629,1002,1
10100045,หนองจอกพิทยานุสสรณ์มัธยม,ม1-ม6,31/7 หมู่ที่ 9,มิตรไมตรี,หนองจอก,เขตหนองจอก,กรุงเทพมหานคร,10530,02-5431844,02-9896072-3,02-9896073,1002,1
10100046,สุเหร่าคู้วิทยา,อ1-ป6,21 หมู่ที่ 11 ซอยสุเหร่าคู้วิทยา,เลียบวารี,โคกแฝด,เขตหนองจอก,กรุงเทพมหานคร,10530,02-989-0188,02-989-0188,1002,1
10100047,อัสสัมชัญศึกษา,อ1-ม6,22-23 ซอย 40,เจริญกรุง,บางรัก,เขตบางรัก,กรุงเทพมหานคร,10500,02-6306063-4,02-6306062,1001,1
10100048,อัสสัมชัญ,ม1-ม6,26 ซอย 40,เจริญกรุง,บางรัก,เขตบางรัก,กรุงเทพมหานคร,10500,02-6307111-25,02-2377769,1001,1
10100049,อนุบาลเปล่งประสิทธิ์,อ1-อ3,60 ซอยศรีเวียง,สุรศักดิ์,สีลม,เขตบางรัก,กรุงเทพมหานคร,10500,02-2382445-6,022674264,02-2383277,1001,1
10100050,อนุบาลจิดาภา,อ1-อ3,131,มหานคร,มหาพฤฒาราม,เขตบางรัก,กรุงเทพมหานคร,10500,02-2361215,02-2664686,1001,1
10100051,อนุบาลชวนชื่น,ตอ-อ3,114 ซอยสาทร 10,สาธรเหนือ,สีลม,เขตบางรัก,กรุงเทพมหานคร,10500,02-2330607,02-2336818,02-6352705,1001,1
10100052,อัสสัมชัญคอนแวนต์,ม1-ม6,25 ซอย 40,เจริญกรุง,บางรัก,เขตบางรัก,กรุงเทพมหานคร,10500,02-3987111,02-2347779,1001,1
10100053,อาทรศึกษา,ป1-ม3,19 ซอยกัปตันบุช,เจริญกรุง,บางรัก,เขตบางรัก,กรุงเทพมหานคร,10500,02-2347887,,1001,1
10100054,สัจจพิทยา,ตอ-ป6,274,สาทรเหนือ,สีลม,เขตบางรัก,กรุงเทพมหานคร,10500,02-2340003,022345674,02-2332848,1001,1
10100055,กรุงเทพคริสเตียนวิทยาลัย,ป1-ม6,35,ประมวญ,สีลม,เขตบางรัก,กรุงเทพมหานคร,10500,02-6379020-69,02-6379399,1001,1
10100058,อัสสัมชัญคอนแวนต์ สีลม,ป1-ป6,8 ซอยประมวญ,สีลม,สีลม,เขตบางรัก,กรุงเทพมหานคร,10500,02-2364330,02-6350038,1001,1
10100059,เซนต์โยเซฟคอนเวนต์,ป1-ม6,7,คอนแวนต์,สีลม,เขตบางรัก,กรุงเทพมหานคร,10500,02-2340561,02-2361957,1001,1
