รหัสโรงเรียน,ชื่อโรงเรียน,ระดับชั้น,ที่อยู่,ถนน,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,โทร,แฟกซ์,เขต,ประเภท 1
60103001,ศพด.มาลาศรี,,,,แม่เปิน,แม่เปิน,นครสวรรค์,,,,,
60103002,ศพด.เขามะตูม,,,,แม่เปิน,แม่เปิน,นครสวรรค์,,,,,
60103003,ศพด.ลานหมาไน,,,,แม่เปิน,แม่เปิน,นครสวรรค์,,,,,
60103004,ศพด.ปางสัก,,,,แม่เปิน,แม่เปิน,นครสวรรค์,,,,,
60103005,ศพด.แม่กะสี,,,,แม่เปิน,แม่เปิน,นครสวรรค์,,,,,
60103006,ศพด.สระสวัสดิ์,,,,แม่เปิน,แม่เปิน,นครสวรรค์,,,,,
60103007,ศพด.ท่ามะกรูด,,,,แม่เปิน,แม่เปิน,นครสวรรค์,,,,,
60103008,ศพด.คลองเจริญ,,,,แม่เปิน,แม่เปิน,นครสวรรค์,,,,,
60103009,ศพด.บ้านมหาโพธิ,,,,มหาโพธิ,เก้าเลี้ยว,นครสวรรค์,,,,,
60103010,ศพด.บ้านหนองหัวเรือ,,,,มหาโพธิ,เก้าเลี้ยว,นครสวรรค์,,,,,
60103011,ศพด.วัดหาดเสลา,,,,หัวดง,เก้าเลี้ยว,นครสวรรค์,,,,,
60103012,ศพด.บ้านหัวดง,,,,หัวดง,เก้าเลี้ยว,นครสวรรค์,,,,,
60103013,ศพด.วัดหัวดงใต้,,,,หัวดง,เก้าเลี้ยว,นครสวรรค์,,,,,
60103014,ศพด.บ้านเนินพระยอม,,,,หัวดง,เก้าเลี้ยว,นครสวรรค์,,,,,
60103015,ศพด.เก้าเลี้ยว,,,,เทศบาลตำบลเก้าเลี้ยว,เก้าเลี้ยว,นครสวรรค์,,,,,
60103016,ศพด.เขาดิน,,,,เขาดิน,เก้าเลี้ยว,นครสวรรค์,,,,,
60103017,ศพด.บ้านเขาดินเหนือ,,,,เขาดิน,เก้าเลี้ยว,นครสวรรค์,,,,,
60103018,ศพด.บ้านดงเมือง,,,,เขาดิน,เก้าเลี้ยว,นครสวรรค์,,,,,
60103019,ศพด.หนองเต่า,,,,หนองเต่า,เก้าเลี้ยว,นครสวรรค์,,,,,
60103020,ศพด.เนินศาลา,,,,เนินศาลา,โกรกพระ,นครสวรรค์,,,,,
60103021,ศพด.วัดบางมะฝ่อ,,,,บางมะฝ่อ,โกรกพระ,นครสวรรค์,,,,,
60103022,ศพด.วัดบ้านหว้า,,,,ยางตาล,โกรกพระ,นครสวรรค์,,,,,
60103023,ศพด.เก้าเลี้ยว,,,,บางประมุง,โกรกพระ,นครสวรรค์,,,,,
60103024,ศพด.บ้านหนองตายาย,,,,บางประมุง,โกรกพระ,นครสวรรค์,,,,,
60103025,ศพด.ศาลาแดง,,,,ศาลาแดง,โกรกพระ,นครสวรรค์,,,,,
60103026,ศพด.บ้านกระจังงาม,,,,ศาลาแดง,โกรกพระ,นครสวรรค์,,,,,
60103027,ศพด.นากลาง,,,,นากลาง,โกรกพระ,นครสวรรค์,,,,,
60103028,ศพด.หาดสูง,,,,หาดสูง,โกรกพระ,นครสวรรค์,,,,,
60103029,ศพด.โกรกพระ,,,,โกรกพระ,โกรกพระ,นครสวรรค์,,,,,
60103030,ศพด.เนินกว้าว,,,,เนินกว้าว,โกรกพระ,นครสวรรค์,,,,,
60103031,ศพด.ท่าปลาย่าง,,,,โคกหม้อ,ชุมแสง,นครสวรรค์,,,,,
60103032,ศพด.ตำบลพันลาน,,,,พันลาน,ชุมแสง,นครสวรรค์,,,,,
60103033,ศพด.บ้านดงกะพี้,,,,ท่าไม้,ชุมแสง,นครสวรรค์,,,,,
60103034,ศพด.บ้านท่าเตียน,,,,ท่าไม้,ชุมแสง,นครสวรรค์,,,,,
60103035,ศพด.ท่าไม้,,,,ท่าไม้,ชุมแสง,นครสวรรค์,,,,,
60103036,ศพด.เกยไชย,,,,เกยไชย,ชุมแสง,นครสวรรค์,,,,,
60103037,ศพด.ทับกฤช,,,,ทับกฤช,ชุมแสง,นครสวรรค์,,,,,
60103038,ศพด.เมืองชุมแสง,,,,ชุมแสง,ชุมแสง,นครสวรรค์,,,,,
60103039,ศพด.บ้านฆะฆัง,,,,ฆะฆัง,ชุมแสง,นครสวรรค์,,,,,
60103040,ศพด.ทับกฤช,,,,ทับกฤช,ชุมแสง,นครสวรรค์,,,,,
60103041,ศพด.หนองกระเจา,,,,หนองกระเจา,ชุมแสง,นครสวรรค์,,,,,
60103042,ศพด.วัดคลองยาง หมู่ที่ 11,,,,บางเคียน,ชุมแสง,นครสวรรค์,,,,,
60103043,ศพด.บ้านประชาสามัคคี,,,,บางเคียน,ชุมแสง,นครสวรรค์,,,,,
60103044,ศพด.ไผ่สิงห์,,,,ไผ่สิงห์,ชุมแสง,นครสวรรค์,,,,,
60103045,ศพด.บ้านดำรงรักษ์,,,,อุดมธัญญา,ตากฟ้า,นครสวรรค์,,,,,
60103046,ศพด.บ้านแคทราย,,,,อุดมธัญญา,ตากฟ้า,นครสวรรค์,,,,,
60103047,ศพด.เทศบาลตำบลอุดมธัญญา,,,,อุดมธัญญา,ตากฟ้า,นครสวรรค์,,,,,
60103048,ศพด.ตากฟ้า,,,,ตากฟ้า,ตากฟ้า,นครสวรรค์,,,,,
60103049,ศพด.ตำบลเขาชายธง,,,,เขาชายธง,ตากฟ้า,นครสวรรค์,,,,,
60103050,ศพด.วิฑูรย์ประชารักษ์,,,,เขาชายธง,ตากฟ้า,นครสวรรค์,,,,,
60103051,ศพด.ตากฟ้า,,,,ตากฟ้า,ตากฟ้า,นครสวรรค์,,,,,
60103052,ศพด.ตำบลสุขสำราญ,,,,สุขสำราญ,ตากฟ้า,นครสวรรค์,,,,,
60103053,ศพด.ลำพยนต์,,,,ลำพยนต์,ตากฟ้า,นครสวรรค์,,,,,
60103054,ศพด.พุนกยูง,,,,พุนกยูง,ตากฟ้า,นครสวรรค์,,,,,
60103055,ศพด.หนองพิกุล,,,,หนองพิกุล,ตากฟ้า,นครสวรรค์,,,,,
60103056,ศพด.หนองจิกกรี,,,,ตาคลี,ตาคลี,นครสวรรค์,,,,,
60103057,ศพด.ถ้ำผาสุขใจ,,,,ตาคลี,ตาคลี,นครสวรรค์,,,,,
60103058,ศพด.อนุบาลตาคลี,,,,ตาคลี,ตาคลี,นครสวรรค์,,,,,
60103059,ศพด.บ้านสระแก้ว,,,,ตาคลี,ตาคลี,นครสวรรค์,,,,,
60103060,ศพด.วัดตาคลี,,,,ตาคลี,ตาคลี,นครสวรรค์,,,,,
60103061,ศพด.บ้านชวนเดื่อ,,,,ตาคลี,ตาคลี,นครสวรรค์,,,,,
60103062,ศพด.วัดหนองสีนวล,,,,ตาคลี,ตาคลี,นครสวรรค์,,,,,
60103063,ศพด.หนองโพ (วัดหนองโพ),,,,หนองโพ,ตาคลี,นครสวรรค์,,,,,
60103064,ศพด.เขาดิน,,,,หัวหวาย,ตาคลี,นครสวรรค์,,,,,
60103065,ศพด.ม่วงน้อย,,,,หัวหวาย,ตาคลี,นครสวรรค์,,,,,
60103066,ศพด.หัวหวาย,,,,หัวหวาย,ตาคลี,นครสวรรค์,,,,,
60103067,ศพด.บ้านทุ่งทะเลทราย,,,,สร้อยทอง,ตาคลี,นครสวรรค์,,,,,
60103068,ศพด.บ้านโครกกร่าง,,,,สร้อยทอง,ตาคลี,นครสวรรค์,,,,,
60103069,ศพด.บ้านดงมัน,,,,จันเสน,ตาคลี,นครสวรรค์,,,,,
60103070,ศพด.บ้านหนองกระทุ่ม,,,,จันเสน,ตาคลี,นครสวรรค์,,,,,
60103071,ศพด.วัดหนองตะโก,,,,จันเสน,ตาคลี,นครสวรรค์,,,,,
60103072,ศพด.วัดจันเสน,,,,จันเสน,ตาคลี,นครสวรรค์,,,,,
60103073,ศพด.บ้านหนองบัวตากลาน,,,,ห้วยหอม,ตาคลี,นครสวรรค์,,,,,
60103074,ศพด.บ้านโคกเจริญ,,,,ห้วยหอม,ตาคลี,นครสวรรค์,,,,,
60103075,ศพด.บ้านหนองบัวทอง,,,,ห้วยหอม,ตาคลี,นครสวรรค์,,,,,
60103076,ศพด.บ้านลาดตะกุด,,,,ห้วยหอม,ตาคลี,นครสวรรค์,,,,,
60103077,ศพด.เทศบาลตาคลี (ขุนตาคลีคณะกิจ),,,,ตาคลี,ตาคลี,นครสวรรค์,,,,,
60103078,ศพด.เทศบาลเมืองตาคลี (บ้านโพนทอง),,,,ตาคลี,ตาคลี,นครสวรรค์,,,,,
60103079,ศพด.บ้านหนองหม้อ,,,,หนองหม้อ,ตาคลี,นครสวรรค์,,,,,
60103080,ศพด.บ้านหนองสีซอ,,,,หนองหม้อ,ตาคลี,นครสวรรค์,,,,,
60103081,ศพด.บ้านหนองแอก,,,,หนองหม้อ,ตาคลี,นครสวรรค์,,,,,
60103082,ศพด.ช่องแค,,,,ช่องแค,ตาคลี,นครสวรรค์,,,,,
60103083,ศพด.ช่องแค,,,,ช่องแค,ตาคลี,นครสวรรค์,,,,,
60103084,ศพด.พรหมนิมิต,,,,พรหมนิมิต,ตาคลี,นครสวรรค์,,,,,
60103085,ศพด.ราษฎร์เจริญ,,,,ลาดทิพรส,ตาคลี,นครสวรรค์,,,,,
60103086,ศพด.ลาดทิพรส,,,,ลาดทิพรส,ตาคลี,นครสวรรค์,,,,,
60103087,ศพด.ตุ๊กแก,,,,ดอนคา,ท่าตะโก,นครสวรรค์,,,,,
60103088,ศพด.คอกกควายใหญ่,,,,ดอนคา,ท่าตะโก,นครสวรรค์,,,,,
60103089,ศพด.บ้านเขาล้อ,,,,ดอนคา,ท่าตะโก,นครสวรรค์,,,,,
60103090,ศพด.วังปลาสร้อย,,,,ดอนคา,ท่าตะโก,นครสวรรค์,,,,,
60103091,ศพด.บ้านดอนคา,,,,ดอนคา,ท่าตะโก,นครสวรรค์,,,,,
60103092,ศพด.เขาโคกเผ่น,,,,ทำนบ,ท่าตะโก,นครสวรรค์,,,,,
60103093,ศพด.พนมรอก,,,,พนมรอก,ท่าตะโก,นครสวรรค์,,,,,
60103094,ศพด.สายลำโพง,,,,สายลำโพง,ท่าตะโก,นครสวรรค์,,,,,
60103095,ศพด.หัวถนนใต้,,,,หัวถนน,ท่าตะโก,นครสวรรค์,,,,,
60103096,ศพด.ท่าตะโก,,,,ท่าตะโก,ท่าตะโก,นครสวรรค์,,,,,
60103097,ศพด.บ้านหัวพลวง,,,,วังมหากร,ท่าตะโก,นครสวรรค์,,,,,
60103098,ศพด.บ้านวัดท่าสุ่ม,,,,วังมหากร,ท่าตะโก,นครสวรรค์,,,,,
60103099,ศพด.บ้านเขาดิน,,,,หนองหลวง,ท่าตะโก,นครสวรรค์,,,,,
60103100,ศพด.หนองหลวง,,,,หนองหลวง,ท่าตะโก,นครสวรรค์,,,,,
60103101,ศพด.วัดพนมเศษ,,,,พนมเศษ,ท่าตะโก,นครสวรรค์,,,,,
60103102,ศพด.บ้านคลองบอน,,,,พนมเศษ,ท่าตะโก,นครสวรรค์,,,,,
