รหัสโรงเรียน (smis),ชื่อโรงเรียน,ละติจูด,ลองจิจูด
60020001,วัดเจริญผล,15.9415006,99.9759901
60020002,วัดมาบมะขาม,15.9980133,100.0143526
60020003,วัดศรัทธาราม,15.9632479,99.9912161
60020004,วัดด่านช้าง,16.0451726,100.0158355
60020005,บ้านทุ่งท่าเสา,16.0876297,99.9804634
60020006,วัดวงฆ้อง(ราษฎร์สุริยศึกษา),16.1012301,99.9930357
60020007,บ้านหนองละมาน,16.0548532,99.9843068
60020008,วัดหนองปลาไหล,16.0522238,100.0248604
60020009,บ้านหนองคล้า,16.10793333,100.0248283
60020010,บ้านงิ้วแบ้,16.0113461,99.9137296
60020011,บ้านดงคู้,16.0610398,99.9477169
60020012,บ้านหนองเจ็ดหาบ,16.0382684,99.9505633
60020013,วัดโพธิ์ขวัญ,16.0322767,99.9080773
60020014,วัดธรรมรักขิตาราม,16.0108961,99.8759869
60020015,ไทยรัฐวิทยา 59 (วัดสังขวิจิตร),16.34122562,100.0195393
60020016,วัดสังขสุทธาวาส,15.9627887,99.920142
60020017,วัดบ้านวัง,15.98656212,99.96638414
60020018,วัดบ้านไผ่,16.0152441,99.9936451
60020019,วัดคลองสองหน่อ,15.9783804,99.9769977
60020020,วัดจันทร์ทอง,15.9744386,99.9554428
60020021,วัดตาสังใต้,15.9484859,99.9532708
60020022,วัดท่างิ้ว,15.9349511,99.9586218
60020023,บ้านหนองน้ำเขียว,15.91978,99.931539
60020024,อนุบาลบรรพตพิสัย(วัดส้มเสี้ยว),15.6894118,100.1051322
60020025,วัดบางแก้ว(บางแก้วพิทยาคม),16.0024207,99.8636568
60020028,วัดประสาทวิถี,15.9643394,99.8391749
60020030,วัดวิวิตตาราม,15.9161974,100.0092237
60020031,วัดมงคลสถิตย์,15.921021,100.0071267
60020032,บ้านบึงราษฎร์,15.9370413,99.9944407
60020033,วัดเทพสถาพร,15.9146203,99.885551
60020034,วัดบ้านแดน,15.9634059,99.9034635
60020036,วัดเขาห้วยลุง,15.9224411,99.8739599
60020037,ราษฎร์ร่วมสามัคคี,16.0573613,100.0680313
60020038,วัดหนองมะขาม,0,0
60020040,บ้านใหม่(ราษฎร์บูรณะ),15.9696802,100.099809
60020041,วัดบ้านพลัง,16.0366645,100.127021
60020042,วัดหนองกรด,15.9601832,100.1180072
60020043,วัดคลองธรรม,16.0082569,100.0416082
60020044,วัดธรรมจริยาวาส,15.9731798,100.1013058
60020045,ชุมชนบ้านคลองเคียน(ประชาสามัคคี),15.9984324,100.0707755
60020046,บ้านหนองเสือ,0,0
60020047,วัดหนองตางู,16.123643,100.0567161
60020048,บ้านโคกกว้าง,16.1463982,100.0328892
60020049,วัดจิกลาด,16.153962,100.0401307
60020050,วัดคลองจินดา,16.0943391,100.0852396
60020051,วัดหูกวาง(เปรื่องอุ่นอุทิศ),0,0
60020052,หัดไทยวิทยาอุทิศ,15.96000873,99.89730835
60020053,วัดท่าแรต,15.877,99.926
60020054,วัดวิมลประชาราษฎร์,15.85960563,99.91951704
60020055,วัดบ้านคลอง,15.8640301,99.9569306
60020057,วัดอ่างทอง,15.8535822,99.9603545
60020058,บ้านดอนจังหัน,15.8098683,99.882779
60020060,จันทราราษฎร์,15.85930101,99.85082175
60020061,วัดหนองไร่,15.81000986,99.8143959
60020062,วัดสังฆวิถี,15.8841143,99.9035864
60020063,บ้านหนองบอนใต้,15.8772498,99.7068648
60020064,บ้านทุ่งตัน,15.8076832,99.7736629
60020065,บ้านบึงหล่ม,15.8099895,99.7500957
60020067,บ้านบ่อกะปุง,15.8588863,99.699689
60020068,วัดบ้านไร่,15.83278491,99.80274538
60020069,ชุมชนวัดเนินม่วง,15.8370192,99.8178046
60020070,วัดสวนหลวง,15.9011756,99.7847289
60020071,บ้านหนองแฟบ,15.8957287,99.8274525
60020072,บ้านไทรทองสามัคคี,15.8885027,99.7275065
60020073,บ้านหนองน้ำแดง,15.8756822,99.7814895
60020074,ไตรราษฎร์อุปถัมภ์,15.6987769,99.7421206
60020076,บ้านมาบแก,15.66257561,99.78790704
60020077,บ้านทุ่งแม่น้ำน้อย,15.768085,99.7212945
60020078,วัดหนองกระทุ่ม,15.76152833,99.73649833
60020079,วัดแหลมทองธรรมจักร,15.7843621,99.7472179
60020080,อนุบาลลาดยาว,15.7496053,99.7890765
60020082,วัดคลองสาลี,15.7742751,99.7048439
60020083,วัดวังม้า(ชนประสิทธิ์วิทยา),15.6778497,99.8268235
60020084,ไตรประชาสามัคคี,15.7027722,99.8599519
60020085,วัดเกาะเปา,15.6582066,99.8544303
60020086,บ้านวังสำราญ,15.70467274,99.81479824
60020087,วัดบ้านวังดินดาด,15.7030175,99.8737162
60020089,บ้านดอนพลอง,15.6793562,99.808117
60020091,บ้านศาลเจ้าไก่ต่อ,0,0
60020092,บ้านวังทับเกวียน,15.7908957,99.6847107
60020093,วัดใหม่สามัคคี,15.7946235,99.6752827
60020094,บ้านท่าตะโก,15.7665107,99.6634529
60020095,บ้านโพธิ์ศรีสามัคคี,15.7697458,99.6304015
60020096,บ้านบุรีรัมย์,15.7213093,99.6176742
60020097,บ้านหนองชำนาญ,15.7380846,99.6053891
60020099,บ้านหนองจิกรี,15.7256871,99.7887994
60020100,บ้านดงสีเสียด,15.7721373,99.8126678
60020101,ชุมชนบ้านดอนโม่,15.7554506,99.8222349
