รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.1 ห้อง,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.2 ห้อง,อ.3 ชาย,อ.3 หญิง,รวมอ.3,อ.3 ห้อง,รวมก่อนประถม ชาย,รวมก่อนประถม หญิง,รวมก่อนประถม,รวมห้องก่อนประถม,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.1 ห้อง,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.2 ห้อง,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.3 ห้อง,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.4 ห้อง,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.5 ห้อง,ป.6 ชาย,ป.6 หญิง,รวมป.6,ป.6 ห้อง,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,รวมห้องประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.1 ห้อง,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.2 ห้อง,ม.3 ชาย,ม.3 หญิง,รวมม.3,ม.3 ห้อง,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,รวมห้องม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.4 ห้อง,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.5 ห้อง,ม.6 ชาย,ม.6 หญิง,รวมม.6,ม.6 ห้อง,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.1 ห้อง,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.2 ห้อง,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,ปวช.3 ห้อง,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมห้องม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด,รวมห้องทั้งหมด
60010000,สพป.นครสวรรค์ เขต 1,60010001,วัดกลางแดด,1,1,2,1,8,5,13,1,17,10,27,1,26,16,42,3,6,9,15,1,10,7,17,1,4,4,8,1,7,4,11,1,8,7,15,1,9,7,16,1,44,38,82,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,54,124,9
60010000,สพป.นครสวรรค์ เขต 1,60010002,บ้านบ่อดินสอพอง,2,4,6,1,5,4,9,1,1,2,3,1,8,10,18,3,2,3,5,1,8,5,13,1,5,0,5,1,2,0,2,1,4,3,7,1,8,3,11,1,29,14,43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,24,61,9
60010000,สพป.นครสวรรค์ เขต 1,60010003,วัดเกรียงไกรเหนือ,0,0,0,0,5,2,7,1,1,8,9,1,6,10,16,2,7,2,9,1,5,8,13,1,4,7,11,1,7,9,16,1,13,8,21,1,6,3,9,1,42,37,79,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,47,95,8
60010000,สพป.นครสวรรค์ เขต 1,60010004,วัดเกรียงไกร(โพธิ์ประสิทธิ์),0,0,0,0,5,5,10,1,6,5,11,1,11,10,21,2,5,1,6,1,6,4,10,1,5,7,12,1,3,2,5,1,5,7,12,1,4,8,12,1,28,29,57,6,9,7,16,1,7,7,14,1,7,11,18,1,23,25,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,64,126,11
60010000,สพป.นครสวรรค์ เขต 1,60010005,วัดชุมนุมสงฆ์(มงคลประชานุกูล),0,0,0,0,10,7,17,1,9,4,13,1,19,11,30,2,7,3,10,1,4,2,6,1,5,1,6,1,2,5,7,1,4,2,6,1,6,4,10,1,28,17,45,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,28,75,8
60010000,สพป.นครสวรรค์ เขต 1,60010007,วัดวังยาง,0,0,0,0,11,4,15,1,10,8,18,1,21,12,33,2,9,3,12,1,8,6,14,1,9,6,15,1,10,10,20,1,11,12,23,1,12,8,20,1,59,45,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,57,137,8
60010000,สพป.นครสวรรค์ เขต 1,60010008,ชุมชนวัดเกาะหงษ์(นิโรธธรรมรังสรรค์),0,0,0,0,5,13,18,1,9,13,22,1,14,26,40,2,7,6,13,1,8,7,15,1,7,6,13,1,9,6,15,1,8,7,15,1,6,10,16,1,45,42,87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,68,127,8
60010000,สพป.นครสวรรค์ เขต 1,60010009,วัดตะเคียนเลื่อน(รังสีวุฒากาสอุปถัมภ์),0,0,0,0,4,3,7,1,9,4,13,1,13,7,20,2,2,3,5,1,5,4,9,1,2,3,5,1,2,2,4,1,6,4,10,1,3,1,4,1,20,17,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,24,57,8
60010000,สพป.นครสวรรค์ เขต 1,60010010,วัดท่าทอง,0,0,0,0,21,12,33,1,14,9,23,1,35,21,56,2,22,7,29,1,15,7,22,1,11,11,22,1,19,10,29,1,13,13,26,1,14,5,19,1,94,53,147,6,19,8,27,1,21,11,32,1,21,11,32,1,61,30,91,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,104,294,11
60010000,สพป.นครสวรรค์ เขต 1,60010012,อนุบาลนครสวรรค์,0,0,0,0,140,135,275,7,145,139,284,7,285,274,559,14,170,174,344,8,162,186,348,8,181,176,357,8,176,180,356,8,178,166,344,8,182,169,351,8,1049,1051,2100,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334,1325,2659,62
